sta_name,sta_code,mun_code,mun_name,Tractor Tipo 1 (unidades),Tractor Tipo 2 (unidades),Arados T1 (unidades),Cultivadora T1 (unidades),Desmalezadoras T1 (unidades),Equipo de aspersión de pesticidas T1 (unidades),Equipo de bombeo T1 (unidades),Fertilizadora T1 (unidades),"Otras maquinarias, equipos o implementos T1 (unidades)",Rastras T1 (unidades),Remolque T1 (unidades),Sembradoras T1 (unidades),Sierra T1 (unidades),Trilladoras T1 (unidades),Arados T2 (unidades),Cultivadora T2 (unidades),Desmalezadoras T2 (unidades),Equipo de aspersión de pesticidas T2 (unidades),Equipo de bombeo T2 (unidades),Fertilizadora T2 (unidades),"Otras maquinarias, equipos o implementos T2 (unidades)",Rastras T2 (unidades),Remolque T2 (unidades),Sembradoras T2 (unidades),Sierra o motosierra T2 (unidades),Trilladoras T2 (unidades),Productores de Algodón,Productores de Amaranto,Productores de Arroz,Productores de Avena forrajera,Productores de Brócoli,Productores de Calabaza/calabacita,Productores de Cebada grano,Productores de Cebolla,Productores de Chile,Productores de Frijol,Productores de Jitomate (Tomate rojo),Productores de Maíz forrajero,Productores de Maíz grano amarillo,Productores de Maíz grano blanco,Productores de Melón,Productores de Papa,Productores de Sandia,Productores de Sorgo forrajero,Productores de Sorgo grano,Productores de Soya,Productores de Tomate de cáscara (tomatillo),Productores de Trigo grano,Superficie sembrada de Algodón (ha),Superficie sembrada de Amaranto (ha),Superficie sembrada de Arroz (ha),Superficie sembrada de Avena forrajera (ha),Superficie sembrada de Brócoli (ha),Superficie sembrada de Calabaza/calabacita (ha),Superficie sembrada de Cebada grano (ha),Superficie sembrada de Cebolla (ha),Superficie sembrada de Chile (ha),Superficie sembrada de Frijol (ha),Superficie sembrada de Jitomate (Tomate rojo) (ha),Superficie sembrada de Maíz forrajero (ha),Superficie sembrada de Maíz grano amarillo (ha),Superficie sembrada de Maíz grano blanco (ha),Superficie sembrada de Melón (ha),Superficie sembrada de Papa (ha),Superficie sembrada de Sandia (ha),Superficie sembrada de Sorgo forrajero (ha),Superficie sembrada de Sorgo grano (ha),Superficie sembrada de Soya (ha),Superficie sembrada de Tomate de cascara (Tomatillo) (ha),Superficie sembrada de Trigo grano (ha),Producción de Algodón (ton),Producción de Amaranto (ton),Producción de Arroz (ton),Producción de Avena forrajera (ton),Producción de Brócoli (ton),Producción de Calabaza/calabacita (ton),Producción de Cebada grano (ton),Producción de Cebolla (ton),Producción de Chile (ton),Producción de Frijol (ton),Producción de Jitomate (Tomate rojo) (ton),Producción de Maíz forrajero (ton),Producción de Maíz grano amarillo (ton),Producción de Maíz grano blanco (ton),Producción de Melón (ton),Producción de Papa (ton),Producción de Sandia (ton),Producción de Sorgo forrajero (ton),Producción de Sorgo grano (ton),Producción de Soya (ton),Producción de Tomate de cáscara (tomatillo) (ton),Producción de Trigo  (ton)
Hidalgo,13,13016,Cuautepec de Hinojosa,5,458,3,0,0,0,1,0,1,3,0,2,0,2,323,135,2,10,8,2,173,163,11,110,0,19,0,0,0,460,0,41,1346,3,0,367,50,135,200,2931,0,4,0,0,0,0,6,33,0,0,0,898.753,0.001,18.525,6167.7594,4.54,0.001,393.0277,27.0264,339.3995,427.2055,6310.483,0,2.9,0,0.25,0,0,6.04,201.8,0,0,0,3094.9771,0.0101,50.1903,10264.4172,89.04,0.0005,44.8496,493.6657,2625.662,407.1549,4451.9709,0,6.42,0,5,0,0,15,0
Hidalgo,13,13009,El Arenal,3,74,0,0,0,1,1,0,2,1,0,0,0,1,30,17,0,0,0,0,20,19,1,5,0,0,0,0,0,69,0,42,64,0,33,221,84,36,5,987,0,0,0,0,0,0,6,0,0,0,0,150.745,0,46.2952,178.1164,0.7901,46.365,320.108,14.389,59.1438,5.16,1693.9642,0,0,0,0,0,0,2.1401,0,0,0,0,324.733,0,26.5625,413.5469,4.5,252.03,51.9701,273.894,211.9725,0.1,3446.6364,0,0,0,0,0,0,2.9023,0
Hidalgo,13,13020,Eloxochitlán,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,17,0,0,0,104,0,0,14,355,0,0,0,0,0,0,11,0,0,0,0,10.5,0,17.567,0,0,3.2,104.993,0.5,1,8.2,468.0616,0,0,0,0,0.1,0,8.28,0,0,0,0,1.8,0,45.492,0,0,0.68,79.2321,8.935,1.5,34.095,1159.5891,0,0,0,0,0.528,0,63.5517,0
Hidalgo,13,13021,Emiliano Zapata,29,220,12,1,0,4,0,0,3,8,0,8,0,3,139,39,0,9,0,5,16,113,3,47,0,9,0,0,0,26,0,30,727,0,0,70,0,10,14,306,0,0,0,0,0,0,0,5,0,0,0,54.43,0,28.9348,4630.2372,0,0,52.0183,0,25.72,50.83,558.7171,0,0,0,0,0,0,0,14.56,0,0,0,257.6641,0,65.4347,8328.4796,0,0,14.774,0,175.3796,90.032,624.7709,0,0,0,0,0,0,0,0
Hidalgo,13,13022,Epazoyucan,9,137,6,0,0,1,0,0,4,4,1,5,0,3,49,20,1,10,19,2,51,43,3,12,0,5,0,0,0,613,0,10,476,0,0,59,43,5,6,130,0,0,0,0,0,0,0,0,0,0,0,2073.7006,0.02,1.3832,2544.819,8,0.024,81.103,11.132,7.14,4.879,155.8006,0,0.02,0,0,0,0,0.06,8.5,0,0,0,9791.0146,0.2,0.2542,2546.7875,320,0.384,15.9659,133.3242,2,1.7,63.3619,0,0.4,0,0,0,0,0.46,0
Hidalgo,13,13023,Francisco I. Madero,6,330,8,1,0,2,0,1,2,4,0,2,0,0,197,67,14,49,2,4,138,127,24,49,1,8,0,0,0,47,49,41,243,0,15,78,9,11,8,1758,0,0,0,0,0,0,7,0,0,0,0,87.2,43.9135,67.596,324.3169,0.8,9.29,65.004,1,11.0835,5.265,3140.3122,0,0,0,40,0,0,5.39,0,0,0,0,2290.1208,707.6982,327.3994,992.9027,14.92,28.67,116.3018,17.87,459.0096,42.8556,27985.1325,0,0,0,1376.8,0,0,22.35,0
Hidalgo,13,13024,Huasca de Ocampo,3,174,0,0,0,0,0,0,0,0,0,0,0,0,111,37,3,68,22,4,99,64,15,37,2,5,0,0,0,263,7,76,14,8,17,141,87,78,88,1944,0,0,0,0,0,0,16,0,0,0.55,0,491.8034,0.819,49.8856,60.8621,3.11,8.22,180.5053,20.602,214.1826,182.24,3989.7681,0,0.515,0,2.7,0,0,8.25,2.7,0,0.851,0,1689.2936,3.1224,65.2704,13.2179,11.7847,25.2458,28.0798,388.2403,2382.67,94.1306,1950.7901,0,0.056,0,43.2,0,0,31.844,0
Hidalgo,13,13025,Huautla,0,13,0,0,0,0,0,0,0,0,0,0,0,0,2,6,184,17,24,0,15,4,1,0,57,0,0,0,0,0,0,24,0,5,104,407,0,3,283,3570,4,0,5,0,0,0,27,0,0,0,0,0,0,6.8209,0.6964,0.4415,33.825,177.7951,0,4.32,224.7994,3750.0721,1.05,0,4.375,0,0,0,6.527,0,0,0,0,0,0,82.2899,1.1211,4.9261,28.6475,67.9299,0,27.4104,280.2653,4662.5738,4.1948,0,42.4923,0,0,0,3.8377,0
Hidalgo,13,13026,Huazalingo,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,12,0,0,29,296,0,0,83,1363,0,0,0,0,0,0,4,0,0,0,0,0,0,5.8705,0,0,10.722,157.765,0,0,73.65,1149.969,0,0,0,0,0,0,1.25,0,0,0,0,0,0,63.9805,0,0,1.5305,34.355,0,0,76.9154,919.0535,0,0,0,0,0,0,0.088,0
Hidalgo,13,13027,Huehuetla,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,29,1,0,97,0,0,0,2,0,0,0,0,0,0,7,0,0,17,235,0,0,8,1208,0,0,0,0,0,0,0,0,0,0,0,2,0,2.02,0,0,8.58,163.4,0.02,1.5,6,1251.5128,0,0,0,0,0,0,0,0,0,0,0,59.36,0,11.3,0,0,2.865,37.5317,0,12.095,4.35,945.3332,0,0,0,0,0,0,0,0
